0.00	0.00
1.00	0.02
2.00	0.04
3.00	0.06
4.00	0.09
5.00	0.12
6.00	0.15
7.00	0.19
8.00	0.24
9.00	0.30
10.00	0.35
11.00	0.41
12.00	0.48
13.00	0.55
14.00	0.63
15.00	0.71
16.00	0.80
17.00	0.89
18.00	0.98
19.00	1.09
20.00	1.19
21.00	1.30
22.00	1.42
23.00	1.54
24.00	1.66
25.00	1.79
26.00	1.93
27.00	2.07
28.00	2.21
29.00	2.36
30.00	2.50
31.00	2.66
32.00	2.83
33.00	2.99
34.00	3.15
35.00	3.32
36.00	3.50
37.00	3.68
38.00	3.88
39.00	4.06
40.00	4.26
41.00	4.46
42.00	4.67
43.00	4.87
44.00	5.08
45.00	5.29
46.00	5.50
47.00	5.73
48.00	5.96
49.00	6.20
50.00	6.44
51.00	6.67
52.00	6.91
53.00	7.15
54.00	7.39
55.00	7.64
56.00	7.91
57.00	8.17
58.00	8.43
59.00	8.71
60.00	8.98
61.00	9.24
62.00	9.51
63.00	9.79
64.00	10.07
65.00	10.35
66.00	10.65
67.00	10.94
68.00	11.24
69.00	11.53
70.00	11.83
71.00	12.11
72.00	12.40
73.00	12.79
74.00	13.10
75.00	13.43
76.00	13.75
77.00	14.10
78.00	14.44
79.00	14.78
80.00	15.13
81.00	15.48
82.00	15.84
83.00	16.19
84.00	16.56
85.00	16.95
86.00	17.33
87.00	17.73
88.00	18.12
89.00	18.51
90.00	18.90
91.00	19.33
92.00	19.76
93.00	20.16
94.00	20.61
95.00	21.04
96.00	21.48
97.00	21.92
98.00	22.36
99.00	22.82
100.00	23.26
101.00	23.72
102.00	24.17
103.00	24.62
104.00	25.08
105.00	25.52
106.00	25.98
107.00	26.43
108.00	26.85
109.00	27.28
110.00	27.70
111.00	28.04
112.00	28.40
113.00	28.73
114.00	29.06
115.00	29.42
116.00	29.73
117.00	30.03
118.00	30.34
119.00	30.57
120.00	30.81
121.00	31.00
122.00	31.22
123.00	31.41
124.00	31.65
125.00	31.86
126.00	32.06
127.00	32.28
128.00	32.47
129.00	32.68
130.00	32.94
131.00	33.21
132.00	33.41
133.00	33.60
134.00	33.89
135.00	34.04
136.00	34.32
137.00	34.65
138.00	34.98
139.00	35.26
140.00	35.51
141.00	35.80
142.00	36.09
143.00	36.29
144.00	36.48
145.00	36.69
146.00	36.84
147.00	37.03
148.00	37.12
149.00	37.08
150.00	37.13
151.00	37.03
152.00	36.97
153.00	36.76
154.00	36.56
155.00	36.33
156.00	35.98
157.00	35.68
158.00	35.28
159.00	34.89
160.00	34.44
161.00	34.04
162.00	33.63
163.00	33.24
164.00	32.83
165.00	32.50
166.00	32.16
167.00	31.81
168.00	31.48
169.00	31.23
170.00	30.96
171.00	30.66
172.00	30.36
173.00	30.15
174.00	29.93
175.00	29.74
176.00	29.56
177.00	29.36
178.00	29.20
179.00	29.06
180.00	29.04
181.00	29.04
182.00	28.92
183.00	28.91
184.00	28.86
185.00	28.80
186.00	28.80
187.00	28.80
188.00	28.74
189.00	28.74
190.00	28.79
191.00	28.81
192.00	28.87
193.00	28.98
194.00	29.04
195.00	29.12
196.00	29.25
197.00	29.38
198.00	29.48
199.00	29.64
200.00	29.81
201.00	29.98
202.00	30.19
203.00	30.42
204.00	30.60
205.00	30.86
206.00	31.06
207.00	31.35
208.00	31.63
209.00	31.95
210.00	32.24
211.00	32.61
212.00	32.97
213.00	33.34
214.00	33.80
215.00	34.23
216.00	34.57
217.00	35.02
218.00	35.55
219.00	36.01
220.00	36.53
221.00	37.12
222.00	37.55
223.00	38.16
224.00	38.72
225.00	39.17
226.00	39.59
227.00	40.04
228.00	40.03
229.00	39.93
230.00	39.80
231.00	39.38
232.00	38.82
233.00	38.24
234.00	37.51
235.00	36.72
236.00	36.02
237.00	35.21
238.00	34.37
239.00	33.68
240.00	32.89
241.00	32.17
242.00	31.47
243.00	30.76
244.00	30.09
245.00	29.46
246.00	28.80
247.00	28.15
248.00	27.57
249.00	26.97
250.00	26.38
251.00	25.81
252.00	25.26
253.00	24.73
254.00	24.21
255.00	23.68
256.00	23.21
257.00	22.74
258.00	22.28
259.00	21.81
260.00	21.39
261.00	20.96
262.00	20.53
263.00	20.11
264.00	19.73
265.00	19.34
266.00	18.96
267.00	18.60
268.00	18.21
269.00	17.84
270.00	17.50
271.00	17.15
272.00	16.81
273.00	16.45
274.00	16.11
275.00	15.78
276.00	15.45
277.00	15.11
278.00	14.80
279.00	14.47
280.00	14.15
281.00	13.84
282.00	13.51
283.00	13.19
284.00	12.89
285.00	12.58
286.00	12.27
287.00	11.96
288.00	11.65
289.00	11.35
290.00	11.04
291.00	10.75
